Accession	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Protein	Country	Host	Collection_Date
YP_010466079.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	48	complete	Cytochrome C oxidase	Zaire	Homo sapiens	1996
YP_010466080.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	35	complete	MV membrane EFC component	Zaire	Homo sapiens	1996
YP_010466081.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	53	complete	DUF1029 domain protein	Zaire	Homo sapiens	1996
YP_010466082.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	42	complete	A32.5L	Zaire	Homo sapiens	1996
YP_010466083.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	59	complete	hypothetical protein	Zaire	Homo sapiens	1996
YP_010415322.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	59	complete	hypothetical protein	Nigeria	Homo sapiens	2018-08
YP_010377183.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	35	complete	MV membrane, EFC component	Nigeria	Homo sapiens	2018-08
YP_010377184.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	176	complete	hypothetical protein	Nigeria	Homo sapiens	2018-08
YP_010377002.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	246	complete	MPXVgp001	Nigeria	Homo sapiens	2018-08
YP_010377003.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	349	complete	MPXVgp002	Nigeria	Homo sapiens	2018-08
YP_010377004.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	588	complete	MPXVgp003	Nigeria	Homo sapiens	2018-08
YP_010377005.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	437	complete	MPXVgp004	Nigeria	Homo sapiens	2018-08
YP_010377006.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	142	complete	MPXVgp006	Nigeria	Homo sapiens	2018-08
YP_010377007.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	242	complete	MPXVgp008	Nigeria	Homo sapiens	2018-08
YP_010377008.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	126	complete	MPXVgp009	Nigeria	Homo sapiens	2018-08
YP_010377009.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	660	complete	MPXVgp010	Nigeria	Homo sapiens	2018-08
YP_010377010.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	64	complete	MPXVgp011	Nigeria	Homo sapiens	2018-08
